Modelo	Pesos	Facilidad	Librerías	Citas	Año	Paper	Comentarios
Clip	[599MB - 1.72GB]	Fácil (from transformers import)	transformers 4.5.0	58188	2021	http://proceedings.mlr.press/v139/radford21a	Es el modelo más diferente de todos al delvolver el percentaje de probabilidad de pertenecer a una clase en lugar de una frase
LLaVa	[1.8GB - 14GB]	Fácil (from transformers import)	transformers 4.35.3	13594	2023	https://proceedings.neurips.cc/paper_files/paper/2023/hash/6dcf277ea32ce3288914faf369fe6de0-Abstract-Conference.html	Fácil de usar, en mi caso los resultados eran buenos, no muy precisos al ser un modelo más pequeño, usar una versión más pesada dará mejores resultados
Blip-2	[1GB - 14GB]	Fácil (from transformers import)	transformers 4.26.0	11169	2023	https://proceedings.mlr.press/v202/li23q	Fácil de usar, en mi caso los resultados eran buenos, no muy precisos al ser un modelo más pequeño, usar una versión más pesada dará mejores resultados
Qwen3	[4GB - 470GB]	Fácil (from transformers import)	transformers 4.57.0	9336	2025	https://arxiv.org/abs/2505.09388	Fácil de usar, en mi caso los resultados eran buenos, usar una versión más pesada dará mejores resultados
InstructBLIP	[14GB - 50GB]	Fácil (from transformers import)	transformers 4.31.0	2564	2023	https://proceedings.neurips.cc/paper_files/paper/2023/hash/9a6a435e75419a836fe47ab6793623e6-Abstract-Conference.html	Fácil de usar, en mi caso los resultados eran buenos, usar una versión más pesada dará mejores resultados
VideoLLaMA3	[4GB - 14GB]	Fácil (from transformers import)	transformers 5.0.0	1802	2023	https://aclanthology.org/2023.emnlp-demo.49/	Fácil de usar, en mi caso los resultados eran buenos, usar una versión más pesada dará mejores resultados
Open-flamingo	6 GB	Complicado (descargar su propia librería)	open-flamingo	924	2023	https://arxiv.org/abs/2308.01390	Pese a usar una librería diferente a tranformers no es necesario clonar un repo ni nada, es solo instalar su librería
Paligemma	6 GB	Fácil (from transformers import)	transformers 4.41.0	639	2024	https://arxiv.org/abs/2407.07726	Fácil de usar, buenos resultados. Requiere una clave para usarse, generé una mía para las pruebas, puede ser necesaria generar una para el código final.
IDEFICS	18 GB	Fácil (from transformers import)	transformers 4.32.0	473	2023	https://proceedings.neurips.cc/paper_files/paper/2023/hash/e2cfb719f58585f779d0a4f9f07bd618-Abstract-Datasets_and_Benchmarks.html	Fácil de usar, buenos resultados
Mplug-owl3	[4GB - 14GB]	Fácil (from transformers import)	transformers 4.46.1	324	2024	https://arxiv.org/abs/2408.04840	Fácil de usar, en mi caso los resultados eran buenos, usar una versión más pesada dará mejores resultados
Kosmos-2.5	~5 GB	Fácil (from transformers import)	transformers 4.38.0, pytorch 2.1	104	2023	https://arxiv.org/abs/2309.11419	No demostró buenos resultados al usar un modelo simple, una mejor versión dará mejores resultados
SmolVLM	3GB	Fácil (from transformers import)	transformers 4.45.0	194	2025	https://arxiv.org/abs/2504.05299	Uno de los modelos usados desde el principio, es muy ligero y lógico en sus respuestas
Moondream	3GB	Fácil (from transformers import)	transformers 4.40.2	0	2024	https://moondream.ai/blog	Es el modelo probado que mejores resultados ha demostrado, pero no tiene ningún paper que lo respalde y tapoco lo he visto nombrado tantas veces.